YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR,WE_Date,xlabel
2020,10,0,0,11,5,24,Jul-07-2020,Jul-07-2020 (10)
2020,11,0,0,54,76,88,Jul-14-2020,Jul-14-2020 (11)
2020,12,0,5,266,295,409,Jul-21-2020,Jul-21-2020 (12)
2020,13,7,5,640,803,1053,Jul-28-2020,Jul-28-2020 (13)
2020,14,11,11,650,1005,1417,Aug-04-2020,Aug-04-2020 (14)
2020,15,10,7,628,917,1433,Aug-11-2020,Aug-11-2020 (15)
2020,16,12,7,751,941,1554,Aug-18-2020,Aug-18-2020 (16)
2020,17,9,15,802,825,1504,Aug-25-2020,Aug-25-2020 (17)
2020,18,11,19,770,834,1393,Sep-01-2020,Sep-01-2020 (18)
2020,19,10,19,739,770,1107,Sep-08-2020,Sep-08-2020 (19)
2020,20,15,17,715,696,1035,Sep-15-2020,Sep-15-2020 (20)
2020,21,17,25,712,649,952,Sep-22-2020,Sep-22-2020 (21)
2020,22,14,27,619,507,758,Sep-29-2020,Sep-29-2020 (22)
2020,23,16,20,490,413,571,Oct-06-2020,Oct-06-2020 (23)
2020,24,17,13,451,337,423,Oct-13-2020,Oct-13-2020 (24)
2020,25,17,12,434,337,385,Oct-20-2020,Oct-20-2020 (25)
2020,26,9,15,494,337,342,Oct-27-2020,Oct-27-2020 (26)
2020,27,10,17,369,275,307,Nov-03-2020,Nov-03-2020 (27)
2020,28,0,0,0,0,0,Nov-10-2020,Nov-10-2020 (28)
2020,29,0,0,0,0,0,Nov-17-2020,Nov-17-2020 (29)
